Tracker ID,Current_stage,Status,xcoord,ycoord
A01T04R05,pile,not_started,612934.569,1098499.997
A01T04R06,pile,not_started,612951.746,1098499.997
A01T04R07,pile,not_started,612968.923,1098499.997
A01T04R08,pile,not_started,612986.1,1098499.997
A01T03R09,pile,not_started,613003.277,1098610.689
A01T03R10,pile,not_started,613020.454,1098610.689
A01T05R09,pile,not_started,613003.277,1098421.641
A01T05R10,pile,not_started,613020.454,1098421.641
A01T03R11,pile,not_started,613037.631,1098661.473
A01T03R12,pile,not_started,613054.808,1098661.473
A01T04R11,pile,not_started,613037.631,1098472.425
A01T04R12,pile,not_started,613054.808,1098472.425
A01T06R11,pile,not_started,613037.631,1098283.377
A01T06R12,pile,not_started,613054.808,1098283.377
A01T02R13,pile,not_started,613071.985,1098707.307
A01T02R14,pile,not_started,613089.162,1098707.307
A01T04R13,pile,not_started,613071.985,1098518.259
A01T04R14,pile,not_started,613089.162,1098518.259
A01T06R13,pile,not_started,613071.985,1098329.211
A01T06R14,pile,not_started,613089.162,1098329.211
A01T02R15,pile,not_started,613106.339,1098707.307
A01T04R15,pile,not_started,613106.339,1098518.259
A01T06R15,pile,not_started,613106.339,1098329.211
A01T03R16,pile,completed,613123.516,1098603.652
A01T05R16,pile,completed,613123.516,1098414.604
A01T07R16,pile,completed,613123.516,1098225.556
A01T03R17,pile,completed,613140.693,1098603.652
A01T05R17,pile,completed,613140.693,1098414.604
A01T07R17,pile,completed,613140.693,1098225.556
A01T03R18,pile,completed,613157.87,1098603.652
A01T05R18,pile,completed,613157.87,1098414.604
A01T07R18,pile,completed,613157.87,1098225.556
A01T03R19,pile,in_progress,613175.047,1098603.652
A01T05R19,pile,completed,613175.047,1098414.604
A01T07R19,pile,completed,613175.047,1098225.556
A01T03R20,pile,in_progress,613192.224,1098603.652
A01T05R20,pile,completed,613192.224,1098414.604
A01T07R20,pile,completed,613192.224,1098225.556
A01T03R21,pile,completed,613209.401,1098603.652
A01T05R21,pile,completed,613209.401,1098414.604
A01T07R21,pile,completed,613209.401,1098225.556
A01T03R22,pile,completed,613226.578,1098603.652
A01T05R22,pile,completed,613226.578,1098414.604
A01T07R22,pile,in_progress,613226.578,1098225.556
A01T03R23,pile,completed,613243.755,1098603.652
A01T05R23,pile,completed,613243.755,1098414.604
A01T07R23,pile,completed,613243.755,1098225.556
A01T03R24,pile,completed,613260.932,1098603.652
A01T05R24,pile,completed,613260.932,1098414.604
A01T07R24,pile,completed,613260.932,1098225.556
A01T03R25,pile,completed,613278.109,1098603.652
A01T05R25,pile,completed,613278.109,1098414.604
A01T07R25,pile,completed,613278.109,1098225.556
A01T02R26,pile,completed,613295.286,1098731.384
A01T04R26,pile,completed,613295.286,1098542.337
A01T06R26,pile,completed,613295.286,1098353.289
A01T08R26,pile,completed,613295.286,1098164.241
A01T02R27,pile,completed,613312.463,1098731.384
A01T04R27,pile,completed,613312.463,1098542.337
A01T06R27,pile,completed,613312.463,1098353.289
A01T08R27,pile,completed,613312.463,1098164.241
A01T02R28,pile,completed,613329.64,1098731.384
A01T04R28,pile,in_progress,613329.64,1098542.337
A01T06R28,pile,completed,613329.64,1098353.289
A01T08R28,pile,completed,613329.64,1098164.241
A01T02R29,pile,completed,613346.817,1098731.384
A01T04R29,pile,in_progress,613346.817,1098542.337
A01T06R29,pile,completed,613346.817,1098353.289
A01T08R29,pile,completed,613346.817,1098164.241
A01T05R30,pile,in_progress,613363.994,1098401.082
A01T07R30,pile,completed,613363.994,1098212.034
A01T05R31,pile,completed,613381.171,1098401.082
A01T07R31,pile,completed,613381.171,1098212.034
A01T05R32,pile,completed,613398.348,1098401.082
A01T07R32,pile,in_progress,613398.348,1098212.034
A01T01R30,module_rails,completed,613363.994,1098810.962
A01T01R31,module_rails,completed,613381.171,1098810.962
A01T01R32,module_rails,completed,613398.348,1098810.962
A01T01R33,module_rails,completed,613415.525,1098810.962
A01T01R34,module_rails,completed,613432.702,1098810.962
A01T01R35,module_rails,completed,613449.879,1098810.962
A01T01R36,module_rails,completed,613467.056,1098810.962
A01T01R37,module_rails,completed,613484.233,1098810.962
A01T01R38,module_rails,completed,613501.41,1098810.962
A01T01R39,torque_tube,not_started,613518.587,1098810.962
A01T03R36,pile,not_started,613467.056,1098621.914
A01T05R36,pile,not_started,613467.056,1098432.866
A01T07R36,pile,not_started,613467.056,1098243.818
A01T03R37,pile,not_started,613484.233,1098621.914
A01T05R37,pile,not_started,613484.233,1098432.866
A01T07R37,pile,not_started,613484.233,1098243.818
A01T03R38,pile,not_started,613501.41,1098621.914
A01T05R38,pile,not_started,613501.41,1098432.866
A01T07R38,pile,not_started,613501.41,1098243.818
A01T03R39,module_rails,completed,613518.587,1098621.914
A01T05R39,module_rails,completed,613518.587,1098432.866
A01T07R39,module_rails,completed,613518.587,1098243.818
A01T03R35,pile,not_started,613449.879,1098621.914
A01T05R35,pile,not_started,613449.879,1098432.866
A01T07R35,pile,not_started,613449.879,1098243.818
A01T01R40,module_rails,completed,613535.764,1098810.962
A01T01R41,module_rails,completed,613552.941,1098810.962
A01T01R42,module_rails,completed,613570.118,1098810.962
A01T01R43,torque_tube,not_started,613587.295,1098810.962
A01T03R40,module_rails,completed,613535.764,1098621.914
A01T05R40,module_rails,completed,613535.764,1098432.866
A01T07R40,pile,not_started,613535.764,1098243.818
A01T03R41,module_rails,completed,613552.941,1098621.914
A01T05R41,module_rails,completed,613552.941,1098432.866
A01T07R41,pile,not_started,613552.941,1098243.818
A01T03R42,module_rails,completed,613570.118,1098621.914
A01T05R42,torque_tube,not_started,613570.118,1098432.866
A01T07R42,pile,not_started,613570.118,1098243.818
A01T03R43,module_rails,completed,613587.295,1098621.914
A01T09R42,pile,not_started,613570.118,1098054.77
A01T09R41,pile,not_started,613552.941,1098054.77
A01T09R40,pile,not_started,613535.764,1098054.77
A01T09R39,pile,not_started,613518.587,1098054.77
A01T09R38,pile,not_started,613501.41,1098054.77
A01T08R15,pile,completed,613106.339,1098140.163
A01T08R14,pile,completed,613089.162,1098140.163
A01T08R13,pile,completed,613071.985,1098140.163
A01T07R10,pile,completed,613020.454,1098232.593
A01T07R09,pile,completed,613003.277,1098232.593
A01T06R08,pile,completed,612986.1,1098310.949
A01T06R07,pile,completed,612968.923,1098310.949
A01T06R06,pile,completed,612951.746,1098310.949
A01T06R05,pile,completed,612934.569,1098310.949
A01T05R01,pile,completed,612865.861,1098398.769
